,batch_size,cos,decay,epochs,lr,momentum,schedule,total_acc,mean_acc,freqw_acc,mean_iou,classwise_scores
output/17,16,False,0.0005,150,0.01,0.99,"['40', '80']",,,,,
output/6,16,False,0.0005,150,0.03,0.9,,,,,,
output/2,16,True,0.0005,150,0.1,0.9,,0.817354019301936,0.319806160592705,0.693339355501018,0.259404710368484,"{0: 0.8295717048193364, 1: 0.4355164686329756, 2: 0.17812539212594153, 3: 0.18847202281322717, 4: 0.174982017805041, 5: 0.13209200227873666, 6: 0.4582255674938168, 7: 0.46820480352551436, 8: 0.40764617378218126, 9: 0.04393392346755031, 10: 0.05318298667703664, 11: 0.022386218491577056, 12: 0.28497061486179187, 13: 0.15653157895739295, 14: 0.2698495779180321, 15: 0.4542232412697553, 16: 0.0804968023340598, 17: 0.18599906683358608, 18: 0.0647523668387718, 19: 0.27821220556299986, 20: 0.28012418124884597}"
output/14,16,True,0.0005,150,0.01,0.9,,,,,,
output/8,16,True,0.0005,150,0.03,0.9,,,,,,
output/3,16,True,0.0005,150,0.1,0.99,,,,,,
output/5,16,False,0.0005,150,0.1,0.99,"['40', '80']",,,,,
output/11,16,False,0.0005,150,0.03,0.99,"['40', '80']",,,,,
output/15,16,True,0.0005,150,0.01,0.99,,0.816349887782084,0.325897613665016,0.693397172371376,0.265377713152583,"{0: 0.8279809627043904, 1: 0.41068580774929087, 2: 0.16270403941525113, 3: 0.1897060146262673, 4: 0.16827296697496016, 5: 0.13228704419700343, 6: 0.43523462662908, 7: 0.46317041986319674, 8: 0.41797979072983293, 9: 0.037971294168388216, 10: 0.08649353728876667, 11: 0.06598458557850603, 12: 0.28207258940630886, 13: 0.1620825297134241, 14: 0.26521186531595, 15: 0.4510509524276265, 16: 0.12629356749002052, 17: 0.1956969381935737, 18: 0.07898209532947234, 19: 0.31113558350939874, 20: 0.30193476489353677}"
output/7,16,False,0.0005,150,0.03,0.99,,0.731835140862738,0.058561486211906,0.555215872870486,0.041897344093199,"{0: 0.7390625299332351, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.06431204495084678, 7: 0.0, 8: 0.07646965107310236, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
